filename,target
0.jpg,0
1.jpg,0
2.jpg,1
3.jpg,1
4.jpg,1
5.jpg,1
6.jpg,0
7.jpg,0
8.jpg,1
9.jpg,0
10.jpg,0
11.jpg,1
12.jpg,0
13.jpg,0
14.jpg,1
15.jpg,0
16.jpg,1
17.jpg,0
18.jpg,0
19.jpg,0
20.jpg,1
21.jpg,0
22.jpg,0
23.jpg,0
24.jpg,0
25.jpg,0
26.jpg,1
27.jpg,0
28.jpg,1
29.jpg,0
30.jpg,1
31.jpg,1
32.jpg,0
33.jpg,1
34.jpg,1
35.jpg,0
36.jpg,0
37.jpg,0
38.jpg,0
39.jpg,0
40.jpg,0
41.jpg,0
42.jpg,0
43.jpg,0
44.jpg,0
45.jpg,0
46.jpg,0
47.jpg,1
48.jpg,0
49.jpg,0
50.jpg,1
51.jpg,1
52.jpg,1
53.jpg,1
54.jpg,0
55.jpg,1
56.jpg,1
57.jpg,1
58.jpg,1
59.jpg,1
60.jpg,1
61.jpg,1
62.jpg,0
63.jpg,1
64.jpg,0
65.jpg,1
66.jpg,1
67.jpg,1
68.jpg,1
69.jpg,0
70.jpg,1
71.jpg,0
72.jpg,0
73.jpg,1
74.jpg,1
75.jpg,1
76.jpg,1
77.jpg,0
78.jpg,1
79.jpg,1
80.jpg,0
81.jpg,0
82.jpg,0
83.jpg,0
84.jpg,1
85.jpg,0
86.jpg,0
87.jpg,0
88.jpg,0
89.jpg,1
90.jpg,1
91.jpg,0
92.jpg,0
93.jpg,0
94.jpg,0
95.jpg,1
96.jpg,1
97.jpg,0
98.jpg,1
99.jpg,0
