날짜,평균기온(℃),최저기온(℃),최고기온(℃),아이스크림/빙수
2019-01-01,-2.1,-5.8,2.1,27
2019-01-02,-2.5,-7,3.2,27
2019-01-03,-2.1,-7.7,5,25
2019-01-04,-0.7,-7.3,5.3,25
2019-01-05,0.2,-4.6,5.3,26
2019-01-06,-1.3,-6.1,5.7,30
2019-01-07,-0.5,-6.3,5.5,29
2019-01-08,-0.7,-4.8,4.2,28
2019-01-09,-2.9,-8,2.9,27
2019-01-10,0.5,-3.4,5.1,27
2019-01-11,2.1,-3.4,8.1,27
2019-01-12,3,-0.3,7.5,25
2019-01-13,1.3,-3.2,8.2,30
2019-01-14,1,-4.1,7.5,31
2019-01-15,0.9,-3.9,6.1,34
2019-01-16,-3.2,-7.9,1.7,33
2019-01-17,0.4,-4,5.4,29
2019-01-18,0.8,-5.1,8.1,26
2019-01-19,2.9,-2.7,9.3,26
2019-01-20,1.6,-2.8,5.5,32
2019-01-21,0.5,-5.5,6.2,33
2019-01-22,2.6,-3.2,9,31
2019-01-23,3.1,-2.2,9.6,32
2019-01-24,0.7,-5.2,8.2,28
2019-01-25,-0.4,-5.1,5.5,25
2019-01-26,-1.8,-6.2,3.7,24
2019-01-27,-0.2,-7.8,7.1,29
2019-01-28,2.6,-2.6,7.2,30
2019-01-29,0,-6.5,8.1,27
2019-01-30,3.5,-3.1,10.1,24
2019-01-31,0.3,-3.8,4.7,21
2019-02-01,-1.3,-6.7,4.1,20
2019-02-02,2.1,-4.8,8.5,21
2019-02-03,5.6,2.6,9.8,21
2019-02-04,2.5,-1.5,6.8,22
2019-02-05,2.9,-4.1,11,22
2019-02-06,5.6,-1.2,12.9,28
2019-02-07,2.1,-3.9,7.4,33
2019-02-08,-2,-5.9,3.2,32
2019-02-09,-1.7,-4.2,1.7,31
2019-02-10,-1.4,-6.3,3.2,34
2019-02-11,-0.8,-4.7,3.9,34
2019-02-12,0.1,-6,6,30
2019-02-13,0.3,-4.1,5.3,27
2019-02-14,0.6,-3.7,6.5,26
2019-02-15,2,-1.5,6,23
2019-02-16,-0.3,-3.5,3.3,26
2019-02-17,-0.2,-5.7,6.3,31
2019-02-18,2.2,-4.4,7.5,32
2019-02-19,2.9,0.6,5.7,31
2019-02-20,2.8,-0.5,7,28
2019-02-21,2.7,-2.7,9.4,28
2019-02-22,3.9,-1.5,11.1,29
2019-02-23,5,-1.3,13.2,30
2019-02-24,6.1,-1.5,14.3,32
2019-02-25,6,0.8,12.8,32
2019-02-26,5.4,-1.5,12.8,29
2019-02-27,7.1,3.4,11.8,28
2019-02-28,6.8,1.4,13.4,28
2019-03-01,6,-0.3,13.7,27
2019-03-02,6.9,-0.8,14.6,28
2019-03-03,8.7,2.4,14.8,31
2019-03-04,8.8,3.9,15.2,28
2019-03-05,8.2,1.2,14.4,27
2019-03-06,8.8,4.7,14.3,31
2019-03-07,6.5,2.1,12.1,25
2019-03-08,6.1,-1.3,14.5,24
2019-03-09,7.9,-1,16.1,28
2019-03-10,7.8,3.8,11.9,33
2019-03-11,6.4,0.7,11.9,30
2019-03-12,5.8,0.9,11.9,28
2019-03-13,3.9,-1.5,9.4,29
2019-03-14,5.2,-2.4,11.8,28
2019-03-15,5.8,1,12.3,23
2019-03-16,5.8,1.4,11.1,24
2019-03-17,6.6,1.1,13.1,27
2019-03-18,7.5,-0.7,15,28
2019-03-19,10.7,2.2,19,28
2019-03-20,11.4,5.3,17.2,31
2019-03-21,9.8,4.5,15,28
2019-03-22,5.2,1.6,10.5,25
2019-03-23,4.2,-0.3,10.3,26
2019-03-24,4.7,-2.1,11.3,32
2019-03-25,7.2,0.4,13.8,34
2019-03-26,10.5,3.2,18.7,35
2019-03-27,12.8,4.8,19.9,31
2019-03-28,10.6,6.6,16.1,31
2019-03-29,10.6,5,17,24
2019-03-30,7.2,3.7,12.2,26
2019-03-31,5.4,2.3,9.2,32
2019-04-01,5.7,-0.1,11.4,31
2019-04-02,6.7,-0.4,13.4,32
2019-04-03,7.4,-0.4,14.5,32
2019-04-04,9.9,1.3,17.9,32
2019-04-05,11.7,5.2,19,27
2019-04-06,11.6,3.4,19,27
2019-04-07,12.5,7.4,18.4,32
2019-04-08,11.8,5.1,19.1,34
2019-04-09,9.3,4.8,15.4,33
2019-04-10,7.2,4.5,9.9,32
2019-04-11,8.8,3.3,14.3,31
2019-04-12,10.7,4.1,17.7,29
2019-04-13,11.6,4,18.9,27
2019-04-14,10.2,6.3,14.7,37
2019-04-15,11.1,2.3,19.6,38
2019-04-16,14.2,4.3,23.3,37
2019-04-17,15.5,8.7,23,36
2019-04-18,15.3,8.4,21.6,36
2019-04-19,12.8,9.5,17.6,31
2019-04-20,14.7,7.7,21.6,29
2019-04-21,16.5,12,22.1,35
2019-04-22,17.6,10.2,25.6,47
2019-04-23,16.8,12.1,21.8,43
2019-04-24,17.3,14.2,22,44
2019-04-25,13.5,10.2,17,42
2019-04-26,9.4,7.6,11.6,35
2019-04-27,11.4,4.9,17.8,31
2019-04-28,12.1,8.4,17.1,37
2019-04-29,11.3,8,14.3,44
