대출일,반납일,분류기호,등록번호,서명,작가,출판사,연체일수,작업장,작성일자,기준일자
2025-02-08 15:38:00,2025-02-20 09:35:00,813.7,HA0000028556,소년이 온다 : 한강 장편소설,한강 지음,창비,0,KLAS,2025-02-08,2025-03-06
2025-02-08 09:54:00,2025-02-20 09:33:00,31,DN0000029651,(흔한남매) 수수께끼 어드벤처. 5,흔한남매 원작;노지영 글;도니패밀리 그림,미래엔 아이세움,0,KLAS,2025-02-08,2025-03-06
2025-02-08 09:54:00,2025-02-20 09:33:00,710,DN0000029635,슈뻘맨의 숨은 국어 찾기. 1,슈뻘맨 원작;권나혜 글;류수형 그림;Shutterstock 사진,미래엔 아이세움,0,KLAS,2025-02-08,2025-03-06
2025-02-04 09:29:00,2025-02-12 09:34:00,507.5,DN0000029310,"(발명코믹북) 무한의 계단. 5, 장난의 신과 태초의 돌",임우영 글;양선모 그림,서울문화사,0,KLAS,2025-02-04,2025-03-06
2025-02-09 16:15:00,2025-02-22 00:00:00,810.82,DN0000007526,국어 교과서 작품 읽기 : 중1 소설. [1-1],김미영;최은영 엮음,창비,0,KLAS,2025-02-09,2025-03-06
2025-02-12 10:54:00,2025-02-14 10:02:00,404,DN0000029674,"뚜식이의 과학 일기. 1, 뇌와 사춘기",뚜식이 원작;최유성 글;신혜영 그림,서울문화사,0,KLAS,2025-02-12,2025-03-06
2025-02-11 13:07:00,2025-02-16 11:07:00,813.8,DN0000029608,(백앤아) 고 고 캐치 고 바니몽. 2,백앤아 원작;최재연 글;구은미 그림,샌드박스스토리키즈,0,KLAS,2025-02-11,2025-03-06
2025-02-11 11:42:00,2025-02-25 19:43:00,833.6,DN0000029601,리버 : 오쿠다 히데오 장편소설. 1,오쿠다 히데오 지음;송태욱 옮김,은행나무,0,KLAS,2025-02-11,2025-03-06
2025-02-14 17:39:00,2025-02-18 17:22:00,404,DN0000029604,"(빨간내복야코) 안 읽으면 완전 위험한 과학책. 1, 일상이 위기",빨간내복야코 원작;박종은 글;이영아 그림,위즈덤하우스,0,KLAS,2025-02-14,2025-03-06
2025-02-22 16:54:00,2025-02-23 11:26:00,31,DN0000029651,(흔한남매) 수수께끼 어드벤처. 5,흔한남매 원작;노지영 글;도니패밀리 그림,미래엔 아이세움,0,KLAS,2025-02-22,2025-03-06
2025-02-22 16:54:00,2025-02-28 16:47:00,710,DN0000029635,슈뻘맨의 숨은 국어 찾기. 1,슈뻘맨 원작;권나혜 글;류수형 그림;Shutterstock 사진,미래엔 아이세움,0,KLAS,2025-02-22,2025-03-06
2025-02-01 14:42:00,2025-02-15 14:14:00,843.6,JH0000022329,아이언 플레임. 1,레베카 야로스 지음;이수현 옮김,북폴리오,0,KLAS,2025-02-01,2025-03-06
2025-02-14 16:54:00,2025-02-19 15:15:00,404,DN0000029674,"뚜식이의 과학 일기. 1, 뇌와 사춘기",뚜식이 원작;최유성 글;신혜영 그림,서울문화사,0,KLAS,2025-02-14,2025-03-06
2025-02-08 17:26:00,2025-02-28 00:00:00,813.7,JH0000015816,소년이 온다 : 한강 장편소설,한강 지음,창비,6,KLAS,2025-02-08,2025-03-06
2025-02-02 17:30:00,2025-02-18 16:36:00,373.4,JH0000022325,성적을 부탁해 티처스,"정승제,조정식,<성적을 부탁해 티처스> 제작팀 지음",다산에듀,2,KLAS,2025-02-02,2025-03-06
2025-02-02 10:40:00,2025-02-17 17:44:00,813.6,HA0000025877,모순 : 양귀자 소설,양귀자 지음,쓰다,1,KLAS,2025-02-02,2025-03-06
2025-02-02 10:40:00,2025-02-17 17:44:00,863,HA0000000500,자기 앞의 生 : 에밀 아자르 장편소설,에밀 아자르 지음;용경식 옮김,문학동네,1,KLAS,2025-02-02,2025-03-06
2025-02-11 09:56:00,2025-02-25 10:34:00,813.8,DN0000029659,푸먹 : 맛있는 상식 시리즈. 2,푸먹 원작,서울문화사,0,KLAS,2025-02-11,2025-03-06
2025-02-02 10:40:00,2025-02-17 17:45:00,325.211,HA0000028755,김미경의 딥마인드=Deep mind : 열심히 살아봤지만 허무함에 지친 당신을 위한,김미경 지음,Awakebooks:엠케이유니버스,1,KLAS,2025-02-02,2025-03-06
2025-02-06 16:58:00,2025-02-15 15:44:00,813.7,DN0000004386,소년이 온다 : 한강 장편소설,한강 지음,창비,0,KLAS,2025-02-06,2025-03-06
2025-02-04 13:27:00,2025-02-18 16:13:00,199.1,DN0000029658,지금 사랑한다고 말하세요,김창옥 지음,수오서재,0,KLAS,2025-02-04,2025-03-06
2025-02-13 11:12:00,2025-02-27 13:54:00,321.97,DN0000029619,트럼프 2.0 시대=Trump 2.0 era : 글로벌 대격변 시작된다,박종훈 지음,글로퍼스,0,KLAS,2025-02-13,2025-03-06
2025-02-01 13:15:00,2025-02-08 00:00:00,657.1,NM0000027003,"원피스. 108, 죽는 편이 나은 세계",오다 에이이치로 지음;길명 옮김,대원씨아이,0,KLAS,2025-02-01,2025-03-06
2025-02-01 13:15:00,2025-02-08 00:00:00,657.1,NM0000027480,"원피스=One piece. 109, 네 편",오다 에이치로 저;길명 역,대원씨아이,0,KLAS,2025-02-01,2025-03-06
2025-02-04 10:37:00,2025-02-21 09:33:00,813.8,DN0000029584,기억을 도둑맞은 아이 : 장수영 장편동화,장수영 지음,북랩,3,KLAS,2025-02-04,2025-03-06
