id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
19995,Avatar,Action-Adventure-Fantasy-Science Fiction,en,In the 22nd century a paraplegic Marine is dispatched to the moon Pandora on a unique mission but becomes torn between following orders and protecting an alien civilization.,296.05,Dune Entertainment-Lightstorm Entertainment-20th Century Fox-Ingenious Media,12/15/09,237000000,2920357254,162,Released,Enter the world of Pandora.,7.569,28943,Sam Worthington-Zoe Saldaí±a-Stephen Lang-Michelle Rodriguez-Sigourney Weaver-Giovanni Ribisi-Joel David Moore-CCH Pounder-Wes Studi-Laz Alonso-Dileep Rao-Matt Gerald-Sean Anthony Moran-Jason Whyte-Scott Lawrence-Kelly Kilgour-James Patrick Pitt-Sean Patrick Murphy-Peter Dillon-Kevin Dorman-Kelson Henderson-David Van Horn-Jacob Tomuri-Michael Blain-Rozgay-Jon Curry-Julene Renee-Luke Hawker-Woody Schultz-Peter Mensah-Sonia Yee-Jahnel Curfman-Ilram Choi-Kyla Warren-Alicia Vela-Bailey-Kyle Dryberg-Larry Rew-Dina Morrone-Rodney Cook,culture clash-future-space war-space colony-society-space travel-futuristic-romance-space-alien-tribe-alien planet-marine-soldier-battle-love affair-nature-anti war-power relations-mind and soul,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,183392-111332-874764-613200-100287-1010821-1059673-773867-76600-572261-278698-24428-287003-49051-49026-520946-70160-27205-120-1726-811913
299534,Avengers: Endgame,Adventure-Science Fiction-Action,en,After the devastating events of Avengers: Infinity War the universe is in ruins due to the efforts of the Mad Titan Thanos. With the help of remaining allies the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all no matter what consequences may be in store.,201.42,Marvel Studios,4/24/19,356000000,2799439100,181,Released,Avenge the fallen.,8.268,22759,Robert Downey Jr.-Chris Evans-Mark Ruffalo-Chris Hemsworth-Scarlett Johansson-Jeremy Renner-Don Cheadle-Paul Rudd-Benedict Cumberbatch-Chadwick Boseman-Brie Larson-Tom Holland-Karen Gillan-Zoe Saldaí±a-Evangeline Lilly-Tessa Thompson-Rene Russo-Elizabeth Olsen-Anthony Mackie-Sebastian Stan-Tom Hiddleston-Danai Gurira-Benedict Wong-Pom Klementieff-Dave Bautista-Letitia Wright-John Slattery-Tilda Swinton-Jon Favreau-Hayley Atwell-Natalie Portman-Marisa Tomei-Taika Waititi-Angela Bassett-Michael Douglas-Michelle Pfeiffer-William Hurt-Cobie Smulders-Sean Gunn-Winston Duke-Linda Cardellini-Maximiliano Herníçndez-Frank Grillo-Hiroyuki Sanada-Tom Vaughan-Lawlor-James D'Arcy-Jacob Batalon-Vin Diesel-Bradley Cooper-Gwyneth Paltrow-Robert Redford-Josh Brolin-Chris Pratt-Samuel L. Jackson-Lexi Rabe-Joe Russo-Ross Marquand-Emma Fuhrmann-Michael James Shaw-Terry Notary-Kerry Condon-Ben Sakamoto-Ava Russo-Cade Woodward-Stan Lee-Yvette Nicole Brown-Callan Mulvey-Lia Russo-Julian Russo-Taylor Patterson-Agostino Rosalina-Ken Jeong-Ty Simpkins-Jackson A. Dunn-Lee Moore-Bazlo LeClair-Loen LeClair-Matthew Berry-Joy McAvoy-John Michael Morris-Michael A. Cook-Brent McGee-Brian Schaeffer-Jamie Wedel-Anthony G Breed-Erica Ribley-Monique Ganderton-Jim Starlin-Jimmy Ray Pickens-Hye Jin Jang-Russell Bobbitt-James Lin-Jack Champion-Sam Hargrave-Patrick Gorman-Aaron Lazar-Robert Pralgo-Tom Wisdom-John Posey-Ameenah Kaplan-Olaniyan Thurmon-Jennifer Elmore-Mike Lutz-Anele Lundborg-Khanya Mkhize-Justin Shaw-Tom Antonellis-Ron Bottitta-Danielle Hartnett-Jennifer Cain-Arthur Ortiz-Ben Pronsky,space travel-time travel-time machine-sequel-superhero-based on comic-alien invasion-superhero team-marvel cinematic universe (mcu)-alternate timeline-father daughter relationship-sister sister relationship,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,299536-299537-429617-99861-284053-363088-24428-271110-315635-284054-324857-284052-283995-100402-1726-10138-64690-76338-102899-287947-10195
76600,Avatar: The Way of Water,Science Fiction-Adventure-Action,en,Set more than a decade after the events of the first film learn the story of the Sully family (Jake Neytiri and their kids) the trouble that follows them the lengths they go to keep each other safe the battles they fight to stay alive and the tragedies they endure.,298.881,20th Century Studios-Lightstorm Entertainment,12/14/22,460000000,2320250281,192,Released,Return to Pandora.,7.656,9794,Sam Worthington-Zoe Saldaí±a-Sigourney Weaver-Stephen Lang-Kate Winslet-Cliff Curtis-Joel David Moore-CCH Pounder-Edie Falco-Jemaine Clement-Giovanni Ribisi-Britain Dalton-Jamie Flatters-Trinity Bliss-Jack Champion-Brendan Cowell-Bailey Bass-Filip Geljo-Duane Evans Jr.-Dileep Rao-Matt Gerald-Robert Okumu-Jennifer Stafford-Keston John-Kevin Dorman-Alicia Vela-Bailey-Sean Anthony Moran-Andrew Arrabito-Johnny Alexander-Kim Do-Victor T. Lopez-Maria Walker-Phil Brown-Jocelyn Christian-Joel Tobeck-Moana Ete-Phil Peleton-Jamie Landau-Jim Moore-Benjamin Hoetjes-Nikita Tu Bryant-Anthony Ahern-Shane Rangi-Rick Lucas-Tanya Drewery-Ava Diakhaby-Isaac Te Reina-Eric Farmer-Philip Mtambo-Daniel Lough-Cruz Moir-Alex Lucas-Scarlett Fernandez-Chloe Coleman-Jeremy Irwin-Jake McLean-CJ Jones-Adrien Antoine-Ingrid Donnadieu-Ninon Moreau-Sylvie Genty-Xavier Fagnon-Matt Mouredon-Julien Alluguette-Oscar Douieb-Anneliese Fromont-Mathieu Buscatto-Jaynelia Coadou-Marianne Leroux-Thií©ry Dubí©-Laurent Maurel-Carmen Levrau-Pierre Boulanger-Patrick Mancini-MichíÂle Bardollet-Luc Boulad-Boris Rehlinger-Alexandre Nguyen-Damien Witecka,loss of loved one-dying and death-alien life-form-resurrection-sequel-dysfunctional family-alien planet-distant future-adopted child-rebirth-family dynamics-adopted son-stronger villain-war,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,136283-823999-183392-1033219-111332-1064215-980078-676841-83121-874764-315162-594767-1007938-640146-762338-1109607-1109558-1109559-267805-965839
597,Titanic,Drama-Romance,en,101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic 84 years later. A young Rose boards the ship with her mother and fiancí©. Meanwhile Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its deathäóîon its first and last voyageäóîon April 15 1912.,167.631,Paramount-20th Century Fox-Lightstorm Entertainment,11/18/97,200000000,2187463944,194,Released,Nothing on Earth could come between them.,7.89,22529,Leonardo DiCaprio-Kate Winslet-Billy Zane-Kathy Bates-Frances Fisher-Gloria Stuart-Victor Garber-Bill Paxton-Bernard Hill-David Warner-Jonathan Hyde-Lewis Abernathy-Suzy Amis-Nicholas Cascone-Danny Nucci-Jason Barry-Lew Palter-Eric Braeden-Ewan Stewart-Bernard Fox-Ioan Gruffudd-Jonny Phillips-Edward Fletcher-Scott G. Anderson-Martin East-Gregory Cooke-Alexandrea Owens-Seth Adkins-Michael Ensign-Anatoly M. Sagalevitch-Martin Hub-Mark Lindsay Chapman-Richard Graham-Paul Brightwell-Craig Kelly-Ron Donachie-Charlotte Chatton-Fannie Brett-Jenette Goldstein-Camilla Overbye Roos-Linda Kerns-Amy Gaipa-Martin Jarvis-Rosalind Ayres-Rochelle Rose-Jonathan Evans-Jones-Rocky Taylor-Liam Tuohy-Simon Crane-James Lancaster-Elsa Raven-Reece P. Thompson III-Laramie Landis-Mark Rafael Truitt-John Walcutt-Terry Forrestal-Derek Lea-Richard Ashton-Sean Nepita-Brendan Connolly-David Cronnelly-Garth Wilton-Richard Fox-Nick Meaney-Kevin Owers-Mark Capri-Marc Cass-Paul Herbert-Emmett James-Chris Byrne-Oliver Page-James Garrett-Erik Holland-Jari Kinnunen-Anders Falk-Barry Dennen-Vern Urich-Rebecca Klingler-Tricia O'Neil-Kathleen S. Dunn-Romeo Francis-Mandana Marino-Van Ling-BjíŸrn Olsen-Dan Pettersson-Shay Duffin-Greg Ellis-Diana Morgan-Kris Andersson-Bobbie Bates-Aaron James Cash-Anne Fletcher-Edmond Alan Forsyth-Andie Hicks-Scott Hislop-Stan Mazin-Lisa Ratzin-Julene Renee-Brian Walsh-Alexandra Boyd-James Cameron-Mike Butters-Bruno Campolo-Kevin De La Noy-Tony Kenny-Sean Lawlor-Don Lynch-Johnny Martin-Ryan McClurkin-Meghan McLeod-Mike O'Neal-Phil Parlapiano-Steven Quale-R. Gern Trowbridge-Olivia Rosewood-John Slade-Brian McDermott,drowning-evacuation-shipwreck-iceberg-forbidden love-ship-panic-titanic-ocean liner-epic-rich woman poor man-based on true story-love-tragedy-disaster-tragic love-historical fiction-class differences-love affair-historical event-lifeboat-star crossed lovers-sinking ship-steerage-rich snob-disaster movie-1910s-sunken ship,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,/rzdPqYx7Um4FUZeD8wpXqjAUcEm.jpg,22-8587-12-58-13-12444-18785-8966-1865-671-672-14160-12445-673-585-862-675-11324-674-285-767
140607,Star Wars: The Force Awakens,Adventure-Action-Science Fiction,en,Thirty years after defeating the Galactic Empire Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.,64.877,Lucasfilm Ltd.-Bad Robot,12/15/15,245000000,2068223624,136,Released,Every generation has a story.,7.289,18501,Harrison Ford-Mark Hamill-Carrie Fisher-Adam Driver-Daisy Ridley-John Boyega-Oscar Isaac-Lupita Nyong'o-Andy Serkis-Domhnall Gleeson-Anthony Daniels-Max von Sydow-Peter Mayhew-Gwendoline Christie-Joonas Suotamo-Pip Andersen-Simon Pegg-Kiran Shah-Sasha Frost-Pip Torrens-Andrew Jack-Rocky Marshall-Greg Grunberg-Emun Elliott-Brian Vernel-Yayan Ruhian-Sebastian Armesto-Maisie Richardson-Sellers-Warwick Davis-Cailey Fleming-Mark Stanley-Ken Leung-Iko Uwais-Anna Brewster-Harriet Walter-Tim Rose-Erik Bauersfeld-Mike Quinn-Bill Kipsang Rotich-Michael Giacchino-Nigel Godrich-Judah Friedlander-Victor McGuire-Miltos Yerolemou-Billie Lourd-Leanne Best-Crystal Clarke-Jeffery Kissoon-Claudia Sermbezis-Gerald W. Abrams-Jim McGrath-Philicia Saunders-Morgan Dameron-Jessica Henwick-Tosin Cole-James McArdle-Stefan Grube-Dixie Arnold-Hannah John-Kamen-Kate Fleetwood-Thomas Brodie-Sangster-Brian Herring-Dave Chapman-Jimmy Vee-Cecep Arif Rahman-Ian Whyte-Daniel Craig-Ewan McGregor-Frank Oz-Alec Guinness-Tom Kane-Catherine Taber-Matthew Wood-Samuel Witwer-Meredith Salenger-James Arnold Taylor-Michael Donovan-Devon Libran-Robert Stambler-Verona Blue-Fred Tatasciore-Patrick Correll-Karen Huie-Orly Schuchmacher-Ben Schwartz-Mark Dodson-Yang Liang-David Acord-Jamie B. Chambers-David M. Santana-Francesca Longrigg-D.C. Barns-Tom Edden-Richard Riddell-Jefferson Hall-Jack Laskey-Daniel Adjei-Charlie Akin-Adrian Allan-Samantha Alleyne-Paul Biddiss-Hannah Blamires-Rony Bridges-Stuart Budd-Calvin Chen-Alan Chimes-Jamie Clay-David W. Collins-Cavin Cornwall-Rowan Cox-Nathalie Cuzner-Rimmel Daniel-Keith De'Winter-Adrian Derrick-Palmer-Michael Dickins-Cameron Edwards-Jesse Michael Fullington-Gloria Garcí_a-Salo Gardner-Caroline Garnell-Chris Geden-Versha Grant-Steven James Griffiths-Gary Hailes-Tim Hammersley-Chris Hastings-Marina Hayter-Kelvin Hewlett-Matthew Hobbs-Phil Hodges-Leigh Holland-Kevin Hudson-Phoenix James-Zander James-Tobias James-Samuels-Paul Kasey-Aaron Kennedy-Aidan Knight-Sanj Krishnan-Lukas Landau-Andrei Lenart-Jorge Leon Martinez-Julia Leyland-Billy James Machin-Hamza Malik-Raymond Mamrak-Kelsey Edwards-Kenny-Lee Mbanefo-David McCarrison-Sandeep Mohan-Benjayx Murphy-Robert Strange-Charlie Nevett-Jason Nicholls-Terry Noble-David Norfolk-Tatsujiro Oto-Gillian Pittaway-Nathan Plant-Elroy Powell-Jay Rincon-Marc Rolfe-Julio Romeo-Arti Shah-Kat Sheridan-Stephanie Silva-Jasper Skinner-Sandy Kate Slade-Clem So-Benito Sovrano-Karol Steele-Franí_ois Sternkiker-Frank Stone-Andy Sweet-Peter Theobalds-Pablo Verdejo-Ashley Ward-Paul Warren-Topo Wresniwiro-Joshua ísberg-Joe Cash-Clare Glass,android-spacecraft-space opera,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,/8BTsTfln4jlQrLXUBquXJ0ASQy9.jpg,181808-1895-1894-1893-330459-11-1891-1892-181812-348350-99861-271110-286217-102899-135397-118340-209112-122917-293660-260485-92196
299536,Avengers: Infinity War,Adventure-Action-Science Fiction,en,As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy his goal is to collect all six Infinity Stones artifacts of unimaginable power and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.,188.593,Marvel Studios,4/25/18,300000000,2052415039,149,Released,An entire universe. Once and for all.,8.255,27635,Robert Downey Jr.-Chris Hemsworth-Mark Ruffalo-Chris Evans-Scarlett Johansson-Benedict Cumberbatch-Tom Holland-Chadwick Boseman-Don Cheadle-Zoe Saldaí±a-Karen Gillan-Elizabeth Olsen-Paul Bettany-Anthony Mackie-Sebastian Stan-Tom Hiddleston-Idris Elba-Danai Gurira-Peter Dinklage-Benedict Wong-Pom Klementieff-Dave Bautista-Vin Diesel-Bradley Cooper-Gwyneth Paltrow-Benicio del Toro-Josh Brolin-Chris Pratt-Sean Gunn-William Hurt-Letitia Wright-Terry Notary-Tom Vaughan-Lawlor-Carrie Coon-Michael James Shaw-Stan Lee-Winston Duke-Florence Kasumba-Kerry Condon-Monique Ganderton-Jacob Batalon-Tiffany Espensen-Isabella Amara-Ethan Dizon-Ariana Greenblatt-Ameenah Kaplan-Ross Marquand-Michael Anthony Rogers-Stephen McFeely-Aaron Lazar-Robert Pralgo-Olaniyan Thurmon-Blair Jasin-Matthew Zuk-Laura Miller-Kenneth Branagh-Samuel L. Jackson-Cobie Smulders-Harrison Osterfield-Gary Peebles-Marija Abney-Zola Williams-Marie Mouroum-James Siderits-Precious Jenkins-Bobby James,magic-sacrifice-superhero-based on comic-space-battlefield-genocide-magical object-super power-aftercreditsstinger-marvel cinematic universe (mcu)-cosmic,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,1073776-299534-284054-284053-99861-271110-315635-363088-24428-283995-284052-383498-429617-299537-102899-118340-76338-100402-10195-1726-10138
634649,Spider-Man: No Way Home,Action-Adventure-Science Fiction,en,Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous forcing him to discover what it truly means to be Spider-Man.,215.904,Marvel Studios-Pascal Pictures-Columbia Pictures,12/15/21,200000000,1921847111,148,Released,The Multiverse unleashed.,7.992,18149,Tom Holland-Zendaya-Benedict Cumberbatch-Jacob Batalon-Jon Favreau-Jamie Foxx-Willem Dafoe-Alfred Molina-Benedict Wong-Tony Revolori-Marisa Tomei-Andrew Garfield-Tobey Maguire-Angourie Rice-Arian Moayed-Paula Newsome-Hannibal Buress-Martin Starr-J.B. Smoove-J.K. Simmons-Rhys Ifans-Charlie Cox-Thomas Haden Church-Emily Fong-Mary Rivera-Rudy Eisenzopf-Kathleen Cardoso-Jonathan Sam-Andrew Dunlap-Ben VanderMey-Zany Dunlap-B. Clutch Dunlap-Minnah Dunlap-Gary Weeks-Gregory Konow-Carol Anne Dines-Anisa Nyell Johnson-Willie Burton-Mallory Hoff-Greg Clarkson-Regina Ting Chen-Robert Mitchel Owenby-Glenn Keogh-Paris Benjamin-Jwaundace Candece-Taylor St. Clair-Gabriella Cila-Darnell Appling-Rolando Fernandez-Edward Force-Michael Le-Dean Meminger-Frederick A. Brown-Cristo Ferníçndez-Clay Savage-Tom Hardy-Jake Gyllenhaal-Jay Karales-Gina Aponte-John Barnes-Harry Holland-Dettric Jones-Haroon Khan,new york city-loss of loved one-showdown-secret identity-hero-magic-villain-dangerous-vigilante-portal-sequel-superhero-superhero team-alternate reality-masked vigilante-spider web-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe (mcu)-teenage hero-fight for justice-superhero teamup-returning hero-crossover-teamwork,/5weKu49pzJCt06OPpjvT80efnQj.jpg,/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,453395-616037-524434-642721-414906-840127-566525-580489-429617-436270-955555-365297-887731-335787-568124-338953-361743-315635-526896-324857-497698
135397,Jurassic World,Action-Adventure-Science Fiction-Thriller,en,Twenty-two years after the events of Jurassic Park Isla Nublar now features a fully functioning dinosaur theme park Jurassic World as originally envisioned by John Hammond.,104.103,Amblin Entertainment-Universal Pictures,6/12/15,150000000,1671537444,124,Released,The park is open.,6.678,18860,Chris Pratt-Bryce Dallas Howard-Ty Simpkins-Nick Robinson-Vincent D'Onofrio-BD Wong-Omar Sy-Jake Johnson-Irrfan Khan-Judy Greer-Lauren Lapkus-Brian Tee-Katie McGrath-Andy Buckley-Eric Edelstein-Courtney J. Clark-Colby Boothman-Jimmy Fallon-James DuMont-Matt Burke-Anna Talakkottur-Matthew Cardarople-Michael Papajohn-William Gary Smith-Kelly Washington-Isaac Keys-Patrick Crowley-Chad Randall-Gary Weeks-Bill Ogilvie-Allan Tam-Yvonne Angulo-Chloe Perrin-Timothy Eulich-Kevin Foster-Bonnie Wild-Brad Bird-Colin Trevorrow-Justin Lacalamita-Tiffany Forest-Arlene Newman-Tait Fletcher-Jimmy Buffett-Tim Connolly-Johnny Otto-Erika Erica-Brandon Marc Higa-Martin Klebba-Eddie J. Fernandez,dna-tyrannosaurus rex-velociraptor-island-animal attack-primal fear-sequel-disaster-escape-dinosaur-creature-park-amusement park-theme park-genetic engineering-raptor-animal horror,/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,/aIGIYJTyOkEVUmEd3z5x6diYsFx.jpg,351286-331-329-99861-330-76341-102899-118340-87101-140607-131631-198663-293660-122917-271110-150540-207703-168259-254128-286217-127585
420818,The Lion King,Adventure-Drama-Family,en,Simba idolizes his father King Mufasa and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar Mufasa's brotheräóîand former heir to the throneäóîhas plans of his own. The battle for Pride Rock is ravaged with betrayal tragedy and drama ultimately resulting in Simba's exile. With help from a curious pair of newfound friends Simba will have to figure out how to grow up and take back what is rightfully his.,131.16,Walt Disney Pictures-Fairview Entertainment,7/12/19,260000000,1663075401,118,Released,The King has Returned.,7.131,9015,Chiwetel Ejiofor-John Oliver-James Earl Jones-John Kani-Alfre Woodard-JD McCrary-Shahadi Wright Joseph-Penny Johnson Jerald-Keegan-Michael Key-Eric Andrí©-Florence Kasumba-Seth Rogen-Billy Eichner-Amy Sedaris-Chance the Rapper-Josh McCrary-Donald Glover-Beyoncí©-Phil LaMarr-J. Lee,africa-lion-prince-musical-uncle-remake-grief-redemption-king-family-sidekick-live action and animation-father son relationship-live action remake,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,/1TUg5pO1VZ4B0Q1amk3OlXvlpXV.jpg,420817-301528-429617-330457-420809-384018-8587-475557-454626-474350-299536-299534-447404-329996-9732-287947-404368-512200-466272-299537-984430
24428,The Avengers,Science Fiction-Action-Adventure,en,When an unexpected enemy emerges and threatens global safety and security Nick Fury director of the international peacekeeping agency known as S.H.I.E.L.D. finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe a daring recruitment effort begins!,100.8,Marvel Studios,4/25/12,220000000,1518815515,143,Released,Some assembly required.,7.71,29108,Robert Downey Jr.-Chris Evans-Mark Ruffalo-Chris Hemsworth-Scarlett Johansson-Jeremy Renner-Tom Hiddleston-Samuel L. Jackson-Cobie Smulders-Clark Gregg-Stellan Skarsgí«rd-Gwyneth Paltrow-Paul Bettany-Alexis Denisof-Tina Benko-Jerzy Skolimowski-Kirill Nikiforov-Jeff Wolfe-M'laah Kaur Singh-Rashmi Rustagi-Powers Boothe-Jenny Agutter-Arthur Darbinyan-Donald Li-Warren Kole-Alicia Sixtos-Jesse Garcia-Maximiliano Herníçndez-Dieter Riesle-Kenneth Tigar-Walter Perez-Harry Dean Stanton-Josh Cowdery-Ashley Johnson-Katsumi Komatsu-Yumiko Komatsu-Momoko Komatsu-Robert Clohessy-Enver Gjokaj-Fernanda Toker-Andrea Vecchio-Robin Swoboda-Brent McGee-Jamie McShane-Michael Zhang-William-Christopher Stephens-Kelley Robins Hicks-Romy Rosemont-James Eckhouse-Stan Lee-Thomas Roberts-Pat Kiernan-Damion Poitier-Lou Ferrigno-Jillian Morgese-Catherine Anderson-Ricardo Andres-Logan Bennett-Mayank Bhatter-Sharita Bone-Jason Botsford-Mary Kate Campbell-Gene N. Chavez-Layla Cushman-Robert Dean-Rick Dremann-Rod Fielder-Eric Frank-Israel Hall-Carmen Dee Harris-Alexander Christopher Jones-Mike Karban-Demoine Kinney-Andrew Knode-Annette Lawless-Kimberly J. Mahoney-Todd Manes-Jorge Mardel-Michael McMillan-Sean Meehan-Holly Neelie-Caleb Daniel Noal-Jeremy Orr-Nate Paige-Martin Palmer-Maria Perossa-Caleb Pieplow-Alexander Daniel Pimentel-Frank Powers-Jaime Powers-Brent Reichert-Kelly Ruble-Gina Sarno-Robert B. Schneider IV-Jeff Seich-Christina Shaffer-Douglas Slygh-Colin Strause-Robert P. Thitoff-George Thomas-Shane Thompson-Jerry Lee Tucker-Tai Urban-Chris Vaina-Sandra Weston-Seth Zielicke-Alex DeCourville-Andrea-Nichole Olivas-Tina Grimm-Evan Kole-Hank Amos-Joti Nagra,new york city-shield-superhero-based on comic-alien invasion-superhero team-aftercreditsstinger-duringcreditsstinger-marvel cinematic universe (mcu),/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,68721-10195-99861-10138-1771-1726-76338-100402-271110-1930-118340-102899-49026-1724-299536-155-284053-284052-315635-283995-19995
